,ConvNeXtV2_Nano,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,MobileNetV3,PyramidViT_V2_B2,Res2Net50,ResNet18,ResNet50,ResNeXt50,Swin_T,ViT_B_32
ConvNeXtV2_Nano,1.0,0.40089803944664165,0.5079115882338573,0.23302704052042514,0.2973789935924905,0.3830905913746362,0.47463331767631334,0.5491741466348478,0.27955130329038147,0.5370210649273327,0.5437703194705046,0.4937985947335125,0.2720358965835144,0.5349881933255984
DeiT_S,0.40089803944664165,1.0,0.4887925804225809,0.3719009708142613,0.6817511553765848,0.4930341517569549,0.44902897073832376,0.5841771322455014,0.35583716395647336,0.5113676909543823,0.46197421661305227,0.5551352114249315,0.3346320611425797,0.7095712462248429
DeiT_T,0.5079115882338573,0.4887925804225809,1.0,0.2271152796499104,0.527725653058961,0.5398663529802781,0.22779055920777994,0.42109263502053457,0.367694766126402,0.5081916219014796,0.45572685401141155,0.461217993915087,0.8334070678209979,0.6223944549287765
DenseNet121,0.23302704052042514,0.3719009708142613,0.2271152796499104,1.0,0.3250040260548642,0.35725117026541586,0.07276397682865741,0.48235230976713944,0.311649012887816,0.3721349739890861,0.3931127915077991,0.2739698737515847,0.1270910870643381,0.3208189950021806
EfficientNet_B3,0.2973789935924905,0.6817511553765848,0.527725653058961,0.3250040260548642,1.0,0.41253574596968373,0.02178035203507472,0.4232519750675248,0.34617685794240877,0.4529083101899236,0.36326968547146044,0.554733334501187,0.3282578718780789,0.5455534587888139
EfficientNet_B4,0.3830905913746362,0.4930341517569549,0.5398663529802781,0.35725117026541586,0.41253574596968373,1.0,0.4386297396446344,0.7070961926087242,0.45470599877666673,0.45268519941732466,0.33024442690424954,0.35617824640088797,0.6301117161143677,0.5441550617155634
MobileNetV3,0.47463331767631334,0.44902897073832376,0.22779055920777994,0.07276397682865741,0.02178035203507472,0.4386297396446344,1.0,0.499637947430357,0.4400557543005266,0.417742173112954,0.46890616600569746,0.3584333567761693,0.387215020105757,0.5574204489598258
PyramidViT_V2_B2,0.5491741466348478,0.5841771322455014,0.42109263502053457,0.48235230976713944,0.4232519750675248,0.7070961926087242,0.499637947430357,1.0,0.36737551277295755,0.4420728065603461,0.4816089018876508,0.3650289287734146,0.28060730328769146,0.6008821902627772
Res2Net50,0.27955130329038147,0.35583716395647336,0.367694766126402,0.311649012887816,0.34617685794240877,0.45470599877666673,0.4400557543005266,0.36737551277295755,1.0,0.46483034729097367,0.4464640712653269,0.4884284287862749,0.6010951721753907,0.3848676711185872
ResNet18,0.5370210649273327,0.5113676909543823,0.5081916219014796,0.3721349739890861,0.4529083101899236,0.45268519941732466,0.417742173112954,0.4420728065603461,0.46483034729097367,1.0,0.4647327151801574,0.6729715261632382,0.538001343345073,0.5663451158273833
ResNet50,0.5437703194705046,0.46197421661305227,0.45572685401141155,0.3931127915077991,0.36326968547146044,0.33024442690424954,0.46890616600569746,0.4816089018876508,0.4464640712653269,0.4647327151801574,1.0,0.3959882373769542,0.5539260602279603,0.6217811841271447
ResNeXt50,0.4937985947335125,0.5551352114249315,0.461217993915087,0.2739698737515847,0.554733334501187,0.35617824640088797,0.3584333567761693,0.3650289287734146,0.4884284287862749,0.6729715261632382,0.3959882373769542,1.0,0.38613792880786524,0.5381133208676092
Swin_T,0.2720358965835144,0.3346320611425797,0.8334070678209979,0.1270910870643381,0.3282578718780789,0.6301117161143677,0.387215020105757,0.28060730328769146,0.6010951721753907,0.538001343345073,0.5539260602279603,0.38613792880786524,1.0,0.5557933842772853
ViT_B_32,0.5349881933255984,0.7095712462248429,0.6223944549287765,0.3208189950021806,0.5455534587888139,0.5441550617155634,0.5574204489598258,0.6008821902627772,0.3848676711185872,0.5663451158273833,0.6217811841271447,0.5381133208676092,0.5557933842772853,1.0
